Design Style,Mood,Undertone,Category,Light,Medium,Dark,Designer Note
Lowcountry Cottage Elegance,"Breezy, layered, hospitable, texture-rich",Sun-washed naturals + faded Oushak pigments (soft blues/corals),Accent (10%),Spa Blue / Seafoam,Rattan / Warm Brass,Soapstone Charcoal,"Texture is the music here. The palette relies on the interplay between rustic wood (heart pine) and refined finishes (polished nickel, honed marble). The ""Dark"" dominant chord (Moody Teal) is perfect for a jewel-box scullery or a cozy, shiplapped den, meant to offset the brightness of a sunroom."
Southern English Romantic,"Layered, curated, soft, feminine","Faded pastels + cool, damp earth tones",Dominant (60%),Pale Pink Greige (BM Classic Gray),Aged Linen White,Deep Plaster White,"This palette evokes a feeling of wandering through an overgrown, mossy garden. Use tactile textures like velvet and raw silk."
Southern English Romantic,"Layered, curated, soft, feminine","Faded pastels + cool, damp earth tones",Grounding (30%),Whitewashed Oak,Moss Green Stone,Dark Pewter,"This palette evokes a feeling of wandering through an overgrown, mossy garden. Use tactile textures like velvet and raw silk."
Southern English Romantic,"Layered, curated, soft, feminine","Faded pastels + cool, damp earth tones",Accent (10%),Shell Pink,Faded Aubergine,Navy Blue,"This palette evokes a feeling of wandering through an overgrown, mossy garden. Use tactile textures like velvet and raw silk."
Southern French Eclectic,"Sun-drenched, rustic, collected, warm","Terracotta, sun-bleached linen, dark patina",Dominant (60%),Creamy Linen White,Light Stone Greige,Warm Taupe,"This style relies on the interplay of rustic elements (wood, iron) and high-quality, aged textiles. Avoid anything synthetic or shiny."
Southern French Eclectic,"Sun-drenched, rustic, collected, warm","Terracotta, sun-bleached linen, dark patina",Grounding (30%),Pale Sand,Weathered Wood,Dark Patina Bronze,"This style relies on the interplay of rustic elements (wood, iron) and high-quality, aged textiles. Avoid anything synthetic or shiny."
Southern French Eclectic,"Sun-drenched, rustic, collected, warm","Terracotta, sun-bleached linen, dark patina",Accent (10%),Warm Yellow,Dusty Blue,Clay Terracotta,"This style relies on the interplay of rustic elements (wood, iron) and high-quality, aged textiles. Avoid anything synthetic or shiny."
Palm Beach Regency,"Glamorous, vibrant, geometric, preppy",High-gloss white + saturated jewel tones,Dominant (60%),High-Gloss White,Pale Aqua,Grass Green,"This palette is intentionally high-contrast and joyful. Use lacquered surfaces and crisp, graphic patterns."
Palm Beach Regency,"Glamorous, vibrant, geometric, preppy",High-gloss white + saturated jewel tones,Grounding (30%),Bleached Rattan,Coral Pink,Polished Nickel,"This palette is intentionally high-contrast and joyful. Use lacquered surfaces and crisp, graphic patterns."
Palm Beach Regency,"Glamorous, vibrant, geometric, preppy",High-gloss white + saturated jewel tones,Accent (10%),Lemon Yellow,Hot Pink,Black,"This palette is intentionally high-contrast and joyful. Use lacquered surfaces and crisp, graphic patterns."
Florida Tropical Modern,"Minimal, indoor-outdoor flow, natural","Warm concrete, dark wood, rich greens",Dominant (60%),Off-White (Gray undertone),Warm Concrete Gray,Teak Wood Stain,This palette is sleek and relies on the jungle outside for its main color accents. Focus on raw materials and clean lines.
Florida Tropical Modern,"Minimal, indoor-outdoor flow, natural","Warm concrete, dark wood, rich greens",Grounding (30%),Light Sandstone,Dark Walnut,Black Steel,This palette is sleek and relies on the jungle outside for its main color accents. Focus on raw materials and clean lines.
Florida Tropical Modern,"Minimal, indoor-outdoor flow, natural","Warm concrete, dark wood, rich greens",Accent (10%),Pale Citron,Emerald Green,Burnt Orange,This palette is sleek and relies on the jungle outside for its main color accents. Focus on raw materials and clean lines.
Virginia Hunt Country,"Equestrian, tailored, heritage, leather","Earthy greens, rich browns, sophisticated reds",Dominant (60%),Creamy Off-White (BM Manchester Tan),Soft Taupe,Hunter Green,"A tailored, masculine palette that feels inherited and well-maintained. Leather and plaid are essential textures."
Virginia Hunt Country,"Equestrian, tailored, heritage, leather","Earthy greens, rich browns, sophisticated reds",Grounding (30%),White Oak,Tobacco Leather,Aged Brass,"A tailored, masculine palette that feels inherited and well-maintained. Leather and plaid are essential textures."
Virginia Hunt Country,"Equestrian, tailored, heritage, leather","Earthy greens, rich browns, sophisticated reds",Accent (10%),Pale Gold,Deep Cranberry Red,Espresso Brown,"A tailored, masculine palette that feels inherited and well-maintained. Leather and plaid are essential textures."
